"date","character","corporation","total"
2012-02-13,380673329808000,87725882389880,468399212197880
2012-02-14,381292573213039,87854982811417,469147556024456
2012-02-15,381646812947311,87882565858433,469529378805744
2012-02-16,382431865071472,87988199807147,470420064878619
2012-02-17,383009212162307,87973928859863,470983141022170
2012-02-18,383643713354015,88526005748593,472169719102608
2012-02-19,384182157435496,88923652069785,473105809505281
2012-02-20,384511475203314,88959277933604,473470753136918
2012-02-21,385398863127463,89116986014093,474515849141556
2012-02-22,386046186505334,89040955816712,475087142322046
2012-02-23,386993323879321,89354129917339,476347453796660
2012-02-24,387228554974130,89991003461748,477219558435878
2012-02-25,388612270231028,90349500650706,478961770881734
2012-02-26,389188758694694,90321727102522,479510485797216
2012-02-27,389680434077002,90623612670745,480304046747747
2012-02-28,389240649411049,90943315599906,480183965010955
2012-02-29,389483549853182,91201139866090,480684689719272
2012-03-01,390067748579106,91560133786429,481627882365535
2012-03-02,390534173134389,91562209875080,482096383009469
2012-03-03,391285731593721,91939960368115,483225691961836
2012-03-04,392376234034892,91669762277261,484045996312153
2012-03-05,392738662100090,91956463097426,484695125197516
2012-03-06,393586694435751,92031274152676,485617968588427
2012-03-07,394036905411366,92249608427394,486286513838760
2012-03-08,394439349232842,92433207681710,486872556914552
2012-03-09,395679729742144,92248679979325,487928409721469
2012-03-10,396303622350597,92692013929386,488995636279983
2012-03-11,395903134357695,92851325800824,488754460158519
2012-03-12,395932140071730,93095266626750,489027406698480
2012-03-13,396556919615975,92943448834781,489500368450756
2012-03-14,396239034298980,93347845493520,489586879792500
2012-03-15,396056536391431,93945544071386,490002080462817
2012-03-16,396630507073556,93959522667955,490590029741511
2012-03-17,397389407679820,94009340012704,491398747692524
2012-03-18,397861985953091,94326822615822,492188808568913
2012-03-19,398413423766696,94655268663455,493068692430151
2012-03-20,399278286344229,93811485514543,493089771858772
2012-03-21,399718873970988,93838070936328,493556944907316
2012-03-22,400228603879147,94172075622420,494400679501567
2012-03-23,400827401713223,94520070364298,495347472077521
2012-03-24,401262819987752,94460889417210,495723709404962
2012-03-25,401665363287808,93978442278752,495643805566560
2012-03-26,402093666022830,94042160640592,496135826663422
2012-03-27,402274587482725,93981333259297,496255920742022
2012-03-28,404238675674322,94275791252894,498514466927216
2012-03-29,404452551532414,94435838240919,498888389773333
2012-03-30,404613191174078,94397878238723,499011069412801
2012-03-31,405961008893192,94139660127758,500100669020950
2012-04-01,406634763858342,94088077245739,500722841104081
2012-04-02,406826749991863,94166436912139,500993186904002
2012-04-03,407739505712738,93357894761905,501097400474643
2012-04-04,408010785541273,93504867499214,501515653040487
2012-04-05,408526452513144,93488685445440,502015137958584
